2025/02/12 06:40:25: Training starting...
2025/02/12 06:41:49: Episode 4300) Epsilon: 0.81, Reward: -5.700, Best Reward: 3.90, Mean Reward -6.38
2025/02/12 06:41:51: Episode 4400) Epsilon: 0.80, Reward: -1.500, Best Reward: 3.90, Mean Reward -6.58
2025/02/12 06:41:53: Episode 4500) Epsilon: 0.80, Reward: -5.100, Best Reward: 3.90, Mean Reward -6.29
2025/02/12 06:41:55: Episode 4600) Epsilon: 0.79, Reward: -4.500, Best Reward: 3.90, Mean Reward -6.31
2025/02/12 06:41:57: Episode 4700) Epsilon: 0.79, Reward: -4.500, Best Reward: 3.90, Mean Reward -6.20
2025/02/12 06:41:59: Episode 4800) Epsilon: 0.79, Reward: -6.900, Best Reward: 3.90, Mean Reward -6.28
2025/02/12 06:42:01: Episode 4900) Epsilon: 0.78, Reward: -5.700, Best Reward: 3.90, Mean Reward -6.06
2025/02/12 06:42:03: Episode 5000) Epsilon: 0.78, Reward: -6.900, Best Reward: 3.90, Mean Reward -6.31
2025/02/12 06:42:05: Episode 5100) Epsilon: 0.77, Reward: -6.300, Best Reward: 3.90, Mean Reward -6.38
2025/02/12 06:42:08: Episode 5200) Epsilon: 0.77, Reward: -6.900, Best Reward: 3.90, Mean Reward -6.34
2025/02/12 06:42:10: Episode 5300) Epsilon: 0.77, Reward: -3.300, Best Reward: 3.90, Mean Reward -5.92
2025/02/12 06:42:12: Episode 5400) Epsilon: 0.76, Reward: -7.500, Best Reward: 3.90, Mean Reward -6.07
2025/02/12 06:42:14: Episode 5500) Epsilon: 0.76, Reward: -5.100, Best Reward: 3.90, Mean Reward -6.23
2025/02/12 06:42:16: Episode 5600) Epsilon: 0.76, Reward: -3.300, Best Reward: 3.90, Mean Reward -6.11
2025/02/12 06:42:18: Episode 5700) Epsilon: 0.75, Reward: -6.300, Best Reward: 3.90, Mean Reward -6.22
2025/02/12 06:42:21: Episode 5800) Epsilon: 0.75, Reward: -6.300, Best Reward: 3.90, Mean Reward -5.65
2025/02/12 06:42:23: Episode 5900) Epsilon: 0.74, Reward: -6.300, Best Reward: 3.90, Mean Reward -5.53
2025/02/12 06:42:25: Episode 6000) Epsilon: 0.74, Reward: -6.900, Best Reward: 3.90, Mean Reward -5.77
